ID	lineage	domain	phylum	class	order	family	genus	species
UniRef90_A0A318JEL9	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Undibacterium;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Undibacterium	s__
UniRef90_A0A4U1JIH3	d__Bacteria;p__Myxococcota;c__;o__Polyangiales;f__Polyangiaceae;g__Polyangium;s__	d__Bacteria	p__Myxococcota	c__	o__Polyangiales	f__Polyangiaceae	g__Polyangium	s__
UniRef90_A0A2S0N360	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Simplicispira;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Simplicispira	s__
UniRef90_A0A557R1W2	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Denitromonas;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Denitromonas	s__
UniRef90_A0A1Q8KTX5	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
UniRef90_A0A2U8GTM0	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Parazoarcus;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Zoogloeaceae	g__Parazoarcus	s__
UniRef90_A0A3A3G5N2	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Noviherbaspirillum	s__
UniRef90_Q2T6P2	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderiathailandensis	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__Burkholderiathailandensis
UniRef90_A0A426FN24	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Lautropia	s__
UniRef90_A0A3C2B068	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__;s__	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__	s__
UniRef90_A0A167GN14	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Hydrogenophaga	s__
UniRef90_A0A316G0K7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Pleioneaceae;g__Pleionea;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Pleioneaceae	g__Pleionea	s__
UniRef90_A0A3E0WJX3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Alkalilimnicola;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Alkalilimnicola	s__
UniRef90_A0A426V7A6	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__Aquabacterium;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__	g__Aquabacterium	s__
UniRef90_A0A7Y5DUU9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methyloglobulus;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methyloglobulus	s__
UniRef90_A0A849RDJ0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methyloglobulus;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methyloglobulus	s__
UniRef90_A0A0J0UYM9	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
UniRef90_A0A106Q2A2	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__
UniRef90_A0A1H7K912	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Atopomonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Atopomonas	s__
UniRef90_A0A4U8VBM5	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__	s__
UniRef90_A0A0K6I9M1	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__Thiomonas;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__	g__Thiomonas	s__
UniRef90_A0A2U2IYY6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingosinicellaceae;g__Sphingosinicella;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingosinicellaceae	g__Sphingosinicella	s__
UniRef90_A0A2U8FXL9	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__Aquabacterium;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__	g__Aquabacterium	s__
UniRef90_A0A328B518	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__
UniRef90_A0A1C2JCN8	d__Bacteria;p__Pseudomonadota;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__	d__Bacteria	p__Pseudomonadota	c__Acidithiobacillia	o__Acidithiobacillales	f__Acidithiobacillaceae	g__Acidithiobacillus	s__
UniRef90_A0A6N7Q4N7	d__Bacteria;p__Myxococcota;c__;o__Polyangiales;f__Polyangiaceae;g__Polyangium;s__	d__Bacteria	p__Myxococcota	c__	o__Polyangiales	f__Polyangiaceae	g__Polyangium	s__
UniRef90_A0A537QI71	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__	f__	g__	s__
UniRef90_A0A1I4ZHW7	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__	d__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Salegentibacter	s__
UniRef90_A0A536Z8R7	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
